time (s),hip angle (deg), knee angle (deg)
0.000000e+000, 1.608431e+002, 6.860103e+001
1.000000e-003, 1.602013e+002, 6.799218e+001
2.000000e-003, 1.595563e+002, 6.739330e+001
3.000000e-003, 1.589081e+002, 6.680454e+001
4.000000e-003, 1.582567e+002, 6.622616e+001
5.000000e-003, 1.576020e+002, 6.565847e+001
6.000000e-003, 1.569440e+002, 6.510177e+001
7.000000e-003, 1.562825e+002, 6.455629e+001
8.000000e-003, 1.556174e+002, 6.402220e+001
9.000000e-003, 1.549486e+002, 6.349964e+001
1.000000e-002, 1.542760e+002, 6.298873e+001
1.100000e-002, 1.535996e+002, 6.248964e+001
1.200000e-002, 1.529191e+002, 6.200258e+001
1.300000e-002, 1.522345e+002, 6.152784e+001
1.400000e-002, 1.515458e+002, 6.106573e+001
1.500000e-002, 1.508528e+002, 6.061662e+001
1.600000e-002, 1.501556e+002, 6.018088e+001
1.700000e-002, 1.494542e+002, 5.975888e+001
1.800000e-002, 1.487486e+002, 5.935098e+001
1.900000e-002, 1.480387e+002, 5.895747e+001
2.000000e-002, 1.473246e+002, 5.857858e+001
2.100000e-002, 1.466065e+002, 5.821442e+001
2.200000e-002, 1.458840e+002, 5.786504e+001
2.300000e-002, 1.451575e+002, 5.753041e+001
2.400000e-002, 1.444271e+002, 5.721049e+001
2.500000e-002, 1.436928e+002, 5.690522e+001
2.600000e-002, 1.429548e+002, 5.661454e+001
2.700000e-002, 1.422133e+002, 5.633837e+001
2.800000e-002, 1.414686e+002, 5.607663e+001
2.900000e-002, 1.407211e+002, 5.582922e+001
3.000000e-002, 1.399711e+002, 5.559605e+001
3.100000e-002, 1.392190e+002, 5.537706e+001
3.200000e-002, 1.384652e+002, 5.517221e+001
3.300000e-002, 1.377104e+002, 5.498149e+001
3.400000e-002, 1.369549e+002, 5.480495e+001
3.500000e-002, 1.361997e+002, 5.464267e+001
3.600000e-002, 1.354450e+002, 5.449473e+001
3.700000e-002, 1.346918e+002, 5.436123e+001
3.800000e-002, 1.339406e+002, 5.424230e+001
3.900000e-002, 1.331922e+002, 5.413800e+001
4.000000e-002, 1.324473e+002, 5.404841e+001
4.100000e-002, 1.317066e+002, 5.397356e+001
4.200000e-002, 1.309710e+002, 5.391352e+001
4.300000e-002, 1.302411e+002, 5.386837e+001
4.400000e-002, 1.295179e+002, 5.383822e+001
4.500000e-002, 1.288022e+002, 5.382323e+001
4.600000e-002, 1.280948e+002, 5.382354e+001
4.700000e-002, 1.273966e+002, 5.383931e+001
4.800000e-002, 1.267084e+002, 5.387070e+001
4.900000e-002, 1.260311e+002, 5.391791e+001
5.000000e-002, 1.253655e+002, 5.398113e+001
5.100000e-002, 1.247124e+002, 5.406054e+001
5.200000e-002, 1.240724e+002, 5.415631e+001
5.300000e-002, 1.234465e+002, 5.426858e+001
5.400000e-002, 1.228351e+002, 5.439747e+001
5.500000e-002, 1.222390e+002, 5.454311e+001
5.600000e-002, 1.216587e+002, 5.470561e+001
5.700000e-002, 1.210946e+002, 5.488507e+001
5.800000e-002, 1.205473e+002, 5.508156e+001
5.900000e-002, 1.200170e+002, 5.529507e+001
6.000000e-002, 1.195041e+002, 5.552557e+001
6.100000e-002, 1.190086e+002, 5.577296e+001
6.200000e-002, 1.185306e+002, 5.603711e+001
6.300000e-002, 1.180703e+002, 5.631789e+001
6.400000e-002, 1.176275e+002, 5.661514e+001
6.500000e-002, 1.172022e+002, 5.692869e+001
6.600000e-002, 1.167941e+002, 5.725832e+001
6.700000e-002, 1.164031e+002, 5.760379e+001
6.800000e-002, 1.160288e+002, 5.796480e+001
6.900000e-002, 1.156709e+002, 5.834100e+001
7.000000e-002, 1.153290e+002, 5.873202e+001
7.100000e-002, 1.150027e+002, 5.913747e+001
7.200000e-002, 1.146914e+002, 5.955695e+001
7.300000e-002, 1.143946e+002, 5.999002e+001
7.400000e-002, 1.141118e+002, 6.043620e+001
7.500000e-002, 1.138424e+002, 6.089499e+001
7.600000e-002, 1.135857e+002, 6.136583e+001
7.700000e-002, 1.133411e+002, 6.184817e+001
7.800000e-002, 1.131080e+002, 6.234146e+001
7.900000e-002, 1.128856e+002, 6.284519e+001
8.000000e-002, 1.126732e+002, 6.335887e+001
8.100000e-002, 1.124703e+002, 6.388205e+001
8.200000e-002, 1.122761e+002, 6.441430e+001
8.300000e-002, 1.120900e+002, 6.495524e+001
8.400000e-002, 1.119112e+002, 6.550451e+001
8.500000e-002, 1.117392e+002, 6.606178e+001
8.600000e-002, 1.115734e+002, 6.662673e+001
8.700000e-002, 1.114132e+002, 6.719907e+001
8.800000e-002, 1.112579e+002, 6.777852e+001
8.900000e-002, 1.111071e+002, 6.836476e+001
9.000000e-002, 1.109601e+002, 6.895749e+001
9.100000e-002, 1.108164e+002, 6.955637e+001
9.200000e-002, 1.106756e+002, 7.016105e+001
9.300000e-002, 1.105371e+002, 7.077110e+001
9.400000e-002, 1.104005e+002, 7.138611e+001
9.500000e-002, 1.102654e+002, 7.200566e+001
9.600000e-002, 1.101315e+002, 7.262936e+001
9.700000e-002, 1.099985e+002, 7.325682e+001
9.800000e-002, 1.098661e+002, 7.388769e+001
9.900000e-002, 1.097341e+002, 7.452165e+001
1.000000e-001, 1.096023e+002, 7.515839e+001
1.010000e-001, 1.094708e+002, 7.579768e+001
1.020000e-001, 1.093395e+002, 7.643933e+001
1.030000e-001, 1.092086e+002, 7.708323e+001
1.040000e-001, 1.090780e+002, 7.772932e+001
1.050000e-001, 1.089479e+002, 7.837760e+001
1.060000e-001, 1.088182e+002, 7.902805e+001
1.070000e-001, 1.086890e+002, 7.968069e+001
1.080000e-001, 1.085602e+002, 8.033550e+001
1.090000e-001, 1.084318e+002, 8.099249e+001
1.100000e-001, 1.083039e+002, 8.165165e+001
1.110000e-001, 1.081765e+002, 8.231300e+001
1.120000e-001, 1.080495e+002, 8.297652e+001
1.130000e-001, 1.079229e+002, 8.364222e+001
1.140000e-001, 1.077968e+002, 8.431010e+001
1.150000e-001, 1.076712e+002, 8.498016e+001
1.160000e-001, 1.075460e+002, 8.565239e+001
1.170000e-001, 1.074212e+002, 8.632680e+001
1.180000e-001, 1.072969e+002, 8.700339e+001
1.190000e-001, 1.071730e+002, 8.768216e+001
1.200000e-001, 1.070496e+002, 8.836311e+001